Deaths by Council Area of usual residence5,,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16,count17,count18,,,,,,,,,,,,,,,,
,Aberdeen City,20,10,27,15,18,11,3,2,5,3,2,1,0,1,1,1,1,0,,121,,,,,,,,,,,,,,
,Aberdeenshire,16,11,14,16,7,6,4,5,2,4,2,0,0,0,1,1,0,0,,89,,,,,,,,,,,,,,
,Angus,4,8,10,16,14,7,7,3,2,2,1,1,0,0,1,0,0,1,,77,,,,,,,,,,,,,,
,Argyll and Bute,1,0,2,2,3,2,7,2,0,0,1,0,0,0,0,0,0,0,,20,,,,,,,,,,,,,,
,City of Edinburgh,34,39,23,40,26,20,17,15,11,8,7,0,3,3,2,3,0,0,,251,,,,,,,,,,,,,,
,Clackmannanshire,2,2,8,7,1,5,8,5,4,2,0,0,1,1,0,0,0,0,,46,,,,,,,,,,,,,,
,Dumfries and Galloway,4,20,19,12,13,7,4,6,0,2,2,0,0,0,0,0,0,0,,89,,,,,,,,,,,,,,
,Dundee City,8,16,9,10,13,8,6,6,3,0,3,1,0,0,1,1,1,0,,86,,,,,,,,,,,,,,
,East Ayrshire,17,13,16,14,14,15,4,4,4,3,1,5,1,1,1,1,0,0,,114,,,,,,,,,,,,,,
,East Dunbartonshire,6,9,6,9,13,4,12,4,2,1,2,1,3,0,0,1,0,0,,73,,,,,,,,,,,,,,
,East Lothian,3,1,7,5,7,5,2,5,4,4,0,4,0,1,0,0,0,0,,48,,,,,,,,,,,,,,
,East Renfrewshire,7,10,5,5,4,8,7,4,3,2,1,3,0,0,0,0,0,0,,59,,,,,,,,,,,,,,
,Falkirk,11,9,10,12,15,22,12,16,13,6,1,5,2,1,1,1,1,0,,138,,,,,,,,,,,,,,
,Fife,28,34,33,27,17,12,11,9,3,3,4,4,1,4,1,1,1,0,,193,,,,,,,,,,,,,,
,Glasgow City,50,45,43,67,56,40,34,26,19,10,10,15,6,7,6,2,3,1,,440,,,,,,,,,,,,,,
,Highland,0,1,16,18,11,9,4,6,6,1,2,1,0,0,0,0,0,0,,75,,,,,,,,,,,,,,
,Inverclyde,10,8,13,11,4,6,7,8,3,5,2,2,1,1,0,0,1,1,,83,,,,,,,,,,,,,,
,Midlothian,5,2,1,8,6,4,3,3,2,2,1,1,0,1,0,0,0,1,,40,,,,,,,,,,,,,,
,Moray,1,0,3,2,3,1,2,1,2,1,0,1,0,0,0,0,1,0,,18,,,,,,,,,,,,,,
,Na h-Eileanan Siar,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,,7,,,,,,,,,,,,,,
,North Ayrshire,19,19,22,17,9,19,13,11,6,6,3,0,2,0,1,1,0,0,,148,,,,,,,,,,,,,,
,North Lanarkshire,53,30,48,40,37,32,25,17,17,13,9,5,3,5,4,3,3,2,,346,,,,,,,,,,,,,,
,Orkney Islands,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,
,Perth and Kinross,13,18,29,16,12,9,10,6,1,1,0,1,0,0,0,2,0,0,,118,,,,,,,,,,,,,,
,Renfrewshire,34,11,20,11,21,20,26,17,6,7,1,3,2,0,1,1,2,0,,183,,,,,,,,,,,,,,
,Scottish Borders,3,3,9,9,6,5,4,2,2,1,0,0,1,1,0,0,0,0,,46,,,,,,,,,,,,,,
,Shetland Islands,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,,,,,,
,South Ayrshire,0,11,9,12,4,2,11,4,4,2,0,1,3,3,2,0,2,0,,70,,,,,,,,,,,,,,
,South Lanarkshire,24,18,28,28,28,33,29,18,9,9,4,3,2,3,1,1,0,1,,239,,,,,,,,,,,,,,
,Stirling,4,5,9,6,5,6,3,10,5,2,3,3,0,1,0,0,1,0,,63,,,,,,,,,,,,,,
,West Dunbartonshire,4,12,8,3,5,2,8,8,2,3,2,0,3,0,0,3,2,0,,65,,,,,,,,,,,,,,
,West Lothian,10,6,4,5,3,4,7,6,2,1,2,1,2,0,0,0,0,0,,53,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
